year,month,Product,UF,kg,US$_fob,km
2014,11,Soy Group,MT,42075174,17524016,0
2014,11,Soy Group,RS,54480343,24515687,0
2014,12,Soy Group,MT,34102101,18458372,0
2014,12,Soy Group,PR,26629260,13482612,0
2014,12,Soy Group,RS,75654680,40268338,0
2015,1,Soy Group,MG,23300250,10085047,0
2015,1,Soy Group,PR,50478930,20217787,0
2015,1,Soy Group,SC,11240420,4499990,0
2015,2,Soy Group,GO,18686278,7171076,0
2015,2,Soy Group,MS,149178999,58204683,0
2015,2,Soy Group,MT,307644349,126683788,0
2015,2,Soy Group,PR,210162751,82445782,0
2015,2,Soy Group,RO,16888960,6528114,0
2015,2,Soy Group,SC,97167548,37811947,0
2015,2,Soy Group,SP,10899960,4476240,0
2015,3,Soy Group,BA,50533898,19767737,0
2015,3,Soy Group,DF,58808705,22288195,0
2015,3,Soy Group,GO,647855787,252085228,0
2015,3,Soy Group,MA,114979145,47001652,0
2015,3,Soy Group,MG,259080637,100662044,0
2015,3,Soy Group,MS,333555431,130487317,0
2015,3,Soy Group,MT,2244063595,894812198,0
2015,3,Soy Group,PR,724884535,290419317,0
2015,3,Soy Group,RO,62551737,24400459,0
2015,3,Soy Group,RS,303764494,119420481,0
2015,3,Soy Group,SC,87350743,33422279,0
2015,3,Soy Group,SP,419859551,164575782,0
2015,3,Soy Group,TO,127996246,51384209,0
2015,4,Soy Group,BA,280292874,108533120,0
2015,4,Soy Group,DF,11742307,4327602,0
2015,4,Soy Group,GO,237666420,90803326,0
2015,4,Soy Group,MA,240856887,93841327,0
2015,4,Soy Group,MG,138787346,53967226,0
2015,4,Soy Group,MS,285106934,110966588,0
2015,4,Soy Group,MT,1158142616,454041355,0
2015,4,Soy Group,ND,18268652,6957982,0
2015,4,Soy Group,PA,52919906,20742344,0
2015,4,Soy Group,PI,20589407,8330422,0
2015,4,Soy Group,PR,1281958567,493937294,0
2015,4,Soy Group,RO,90477074,34545087,0
2015,4,Soy Group,RS,1666148923,640854037,0
2015,4,Soy Group,SC,396353830,152127918,0
2015,4,Soy Group,SP,131896613,50681755,0
2015,4,Soy Group,TO,305250561,119607166,0
2015,5,Soy Group,BA,268055397,103676773,0
2015,5,Soy Group,DF,16269526,6062919,0
2015,5,Soy Group,GO,584930020,221858266,0
2015,5,Soy Group,MA,344480726,133746621,0
2015,5,Soy Group,MG,468977247,185656745,0
2015,5,Soy Group,MS,718840798,278795170,0
2015,5,Soy Group,MT,2645572119,1021215993,0
2015,5,Soy Group,PA,98147780,37174636,0
2015,5,Soy Group,PI,127724352,49262037,0
2015,5,Soy Group,PR,840837978,328001403,0
2015,5,Soy Group,RO,71449750,26838875,0
2015,5,Soy Group,RS,1360849341,524765176,0
2015,5,Soy Group,SC,352167823,138470328,0
2015,5,Soy Group,SP,792363775,307525038,0
2015,5,Soy Group,TO,410242959,158239733,0
2015,6,Soy Group,BA,321722492,125800507,0
2015,6,Soy Group,DF,18980817,7221629,0
2015,6,Soy Group,GO,604549259,228253156,0
2015,6,Soy Group,MA,321195565,122267799,0
2015,6,Soy Group,MG,422422304,163404014,0
2015,6,Soy Group,MS,680862287,261012512,0
2015,6,Soy Group,MT,2771021440,1064458836,0
2015,6,Soy Group,PA,171485790,65315267,0
2015,6,Soy Group,PI,162534955,62700123,0
2015,6,Soy Group,PR,1382700329,528128625,0
2015,6,Soy Group,RO,118464893,44515753,0
2015,6,Soy Group,RS,1641642794,630481838,0
2015,6,Soy Group,SC,189221880,72080254,0
2015,6,Soy Group,SP,524373185,202212559,0
2015,6,Soy Group,TO,293353215,112306674,0
2015,7,Soy Group,BA,372132336,144165857,0
2015,7,Soy Group,DF,10448697,3995866,0
2015,7,Soy Group,GO,559736980,211348230,0
2015,7,Soy Group,MA,302903683,117876675,0
2015,7,Soy Group,MG,325320120,124869919,0
2015,7,Soy Group,MS,641578427,244137922,0
2015,7,Soy Group,MT,2132545346,805721468,0
2015,7,Soy Group,PA,237451610,91622926,0
2015,7,Soy Group,PI,176521945,68036048,0
2015,7,Soy Group,PR,1068904563,410543196,0
2015,7,Soy Group,RO,75704537,28319519,0
2015,7,Soy Group,RS,1696872313,646888706,0
2015,7,Soy Group,SC,80918950,30439077,0
2015,7,Soy Group,SP,387002448,150190858,0
2015,7,Soy Group,TO,197055451,75645340,0
2015,8,Soy Group,BA,339733186,132219253,0
2015,8,Soy Group,DF,19448274,7728859,0
2015,8,Soy Group,GO,229132762,88946993,0
2015,8,Soy Group,MA,216448237,84512482,0
2015,8,Soy Group,MG,197054898,76520717,0
2015,8,Soy Group,MS,212429418,81912876,0
2015,8,Soy Group,MT,1169241645,460999984,0
2015,8,Soy Group,PA,86735172,33709724,0
2015,8,Soy Group,PI,112707084,43854267,0
2015,8,Soy Group,PR,882672644,336662891,0
2015,8,Soy Group,RO,23529419,8929391,0
2015,8,Soy Group,RS,1258550818,486307994,0
2015,8,Soy Group,SC,90581197,34469344,0
2015,8,Soy Group,SP,209527301,84248335,0
2015,8,Soy Group,TO,113229536,43456993,0
2015,9,Soy Group,BA,355228451,136107436,0
2015,9,Soy Group,DF,37792072,14438507,0
2015,9,Soy Group,GO,122888278,46539796,0
2015,9,Soy Group,MA,175874100,67501182,0
2015,9,Soy Group,MG,80053234,31003694,0
2015,9,Soy Group,MS,147045099,56951786,0
2015,9,Soy Group,MT,690429332,266149722,0
2015,9,Soy Group,PA,21257632,8310409,0
2015,9,Soy Group,PI,106349978,43082595,0
2015,9,Soy Group,PR,590096808,225114715,0
2015,9,Soy Group,RO,24328149,9730165,0
2015,9,Soy Group,RS,1186786339,461684554,0
2015,9,Soy Group,SC,39205007,14870154,0
2015,9,Soy Group,SP,33434241,12588262,0
2015,9,Soy Group,TO,88657039,33638051,0
2015,10,Soy Group,BA,383904316,146209094,0
2015,10,Soy Group,GO,178662224,67622451,0
2015,10,Soy Group,MA,60782749,23760292,0
2015,10,Soy Group,MG,38161270,14559102,0
2015,10,Soy Group,MS,41710945,15663567,0
2015,10,Soy Group,MT,439972408,169120016,0
2015,10,Soy Group,PI,26595328,10467361,0
2015,10,Soy Group,PR,284845441,107248481,0
2015,10,Soy Group,RO,15370230,6571034,0
2015,10,Soy Group,RR,9715765,4383462,0
2015,10,Soy Group,RS,929987759,355392092,0
2015,10,Soy Group,SC,28014018,10666043,0
2015,10,Soy Group,SP,103254226,37722420,0
2015,10,Soy Group,TO,33787241,12714596,0
2015,11,Soy Group,BA,146037126,55028982,0
2015,11,Soy Group,DF,49967820,19187344,0
2015,11,Soy Group,GO,26128670,9999443,0
2015,11,Soy Group,MS,105948257,39785904,0
2015,11,Soy Group,MT,219677995,88409811,0
